rentree_scolaire,denomination_principale_x,secteur,nombre_d_eleves,latitude,longitude,appariement,nature_uai_libe,numero_uai,code_departement
2021,LYCEE GENERAL PRIVE,PRIVE,259,47.35993039832817,-0.8600599828892151,Correcte,LYCEE D ENSEIGNEMENT GENERAL,0490835S,049
2021,LYCEE GENERAL,PUBLIC,845,47.2552700025916,-0.0759100648449308,Parfaite,LYCEE D ENSEIGNEMENT GENERAL,0490040C,049
2021,LPO LYCEE DES METIERS,PUBLIC,307,47.24918279952321,-0.0698100320485576,Parfaite,LYCEE POLYVALENT,0490055U,049
2021,LYCEE GEN.ET TECHNOL.PRIVE,PRIVE,651,47.25809944538331,-0.0846393975707339,Parfaite,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,0490838V,049
2021,LYCEE TECHNOLOGIQUE PRIVE,PRIVE,57,47.25300065904593,-0.0626697460526237,Parfaite,LYCEE D ENSEIGNEMENT TECHNOLOGIQUE,0492285T,049
2021,LYCEE POLYVALENT,PUBLIC,548,47.690012433754966,-0.8775997202031189,Parfaite,LYCEE POLYVALENT,0490782J,049
2021,LYCEE GENERAL PRIVE,PRIVE,164,47.716453586380446,-0.9150106274886712,Correcte,LYCEE D ENSEIGNEMENT GENERAL,0490834R,049
2021,LYCEE POLYVALENT PRIVE,PRIVE,458,47.68052365201094,-0.8736198227992862,Parfaite,LYCEE POLYVALENT,0490840X,049
2021,LYCEE GEN.ET TECHNOL.PRIVE,PRIVE,374,47.01670195211282,-1.066241316784331,Correcte,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,0490952U,049
2021,LYC POLYVAL PRIVE DES METIERS,PRIVE,691,47.49002763182008,-0.5070808259281547,Correcte,LYCEE POLYVALENT,0492420P,049
2021,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,670,47.828207649733216,-0.6980619694286776,Parfaite,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,0530004S,53
2021,LYCEE GENERAL PRIVE,PRIVE,331,47.83137541398297,-0.7092974349873423,Correcte,LYCEE D ENSEIGNEMENT GENERAL,0530046M,053
2021,LYCEE POLYVALENT,PUBLIC,295,48.15215604323232,-0.3993806372392612,Parfaite,LYCEE POLYVALENT,0530949U,053
2021,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,1101,48.06593887069267,-0.7763004705105594,Parfaite,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,0530010Y,53
2021,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,1014,48.07208407024492,-0.7615497709354053,Parfaite,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,0530011Z,53
2021,LGT LYCEE DES METIERS,PUBLIC,586,48.06776600923271,-0.7589294644169176,Parfaite,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,0530012A,053
2021,LYCEE GEN.ET TECHNOL.PRIVE,PRIVE,892,48.0741336510101,-0.7687596318723624,Parfaite,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,0530048P,053
2021,LYCEE GEN.ET TECHNOL.PRIVE,PRIVE,713,48.06277530698817,-0.7670095023116218,Parfaite,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,0530049R,053
2021,LYCEE POLYVALENT PRIVE,PRIVE,314,48.0746606868576,-0.7867003068398215,Parfaite,LYCEE POLYVALENT,0530068L,053
2021,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,632,48.30546506348627,-0.628930620415273,Parfaite,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,0530016E,053
2021,LYCEE GENERAL PRIVE,PRIVE,313,48.296251752224,-0.6156195632085173,Correcte,LYCEE D ENSEIGNEMENT GENERAL,0530052U,053
2021,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,666,47.95673149022385,0.1670940409437376,Correcte,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,0721548S,072
2021,LPO LYCEE DES METIERS,PUBLIC,823,48.17910519714522,0.653788923552024,Correcte,LYCEE POLYVALENT,0720017C,072
2021,LYCEE GENERAL PRIVE,PRIVE,122,48.18795876357445,0.6466939268395933,Parfaite,LYCEE D ENSEIGNEMENT GENERAL,0721549T,072
2021,LYCEE POLYVALENT,PUBLIC,1011,47.70685663264609,-0.0824719832313371,Correcte,LYCEE POLYVALENT,0720021G,072
2021,LYCEE GENERAL PRIVE,PRIVE,164,47.70067205684831,-0.0803875304509026,Parfaite,LYCEE D ENSEIGNEMENT GENERAL,0720833P,072
2021,LYCEE GENERAL,PUBLIC,1186,48.01026302625306,0.199867919143488,Parfaite,LYCEE D ENSEIGNEMENT GENERAL,0720029R,072
2021,LYCEE GENERAL,PUBLIC,1303,48.01336210808292,0.2045863666343727,Parfaite,LYCEE D ENSEIGNEMENT GENERAL,0720030S,072
2021,LPO LYCEE DES METIERS,PUBLIC,1313,47.99561588128597,0.2031213338438964,Correcte,LYCEE POLYVALENT,0720033V,072
2021,LYC POLYVAL PRIVE DES METIERS,PRIVE,32,48.02212274178353,0.1784075391617494,Parfaite,LYCEE POLYVALENT,0720822C,072
2021,LYCEE GEN.ET TECHNOL.PRIVE,PRIVE,1169,48.00346274950421,0.2000610204975125,Parfaite,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,0720837U,072
2021,LYCEE POLYVALENT,PUBLIC,1013,47.98235933661047,0.2280772795655614,Parfaite,LYCEE POLYVALENT,0721094Y,072
2021,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,1192,47.99311832347871,0.1966327867834134,Parfaite,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,0721493G,072
2021,LYC POLYVAL PRIVE DES METIERS,PRIVE,731,48.00010482678629,0.2134420910496813,Parfaite,LYCEE POLYVALENT,0721684P,072
2021,LYCEE POLYVALENT,PUBLIC,244,48.34872303042512,0.3626462254272021,Parfaite,LYCEE POLYVALENT,0720027N,072
2021,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,451,47.69897526750431,0.4129213864522583,Correcte,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,0720012X,072
2021,LYCEE POLYVALENT PRIVE,PRIVE,153,47.98308908724977,0.1392306173358581,Parfaite,LYCEE POLYVALENT,0721478R,072
2021,LPO LYCEE DES METIERS,PUBLIC,727,47.838831989931776,-0.3408625882494436,Parfaite,LYCEE POLYVALENT,0720048L,072
2021,LYCEE POLYVALENT PRIVE,PRIVE,145,47.84166845944233,-0.3366936271348902,Parfaite,LYCEE POLYVALENT,0720843A,072
